Topic,User,Score
Tweets_About_Love_Positive,fabienpascal,2.3964104766494572e-05
Tweets_About_Love_Positive,naufalsallehin,1.9262869194945128e-05
Tweets_About_Love_Positive,Naseehaaaaa,1.293818211577636e-05
Tweets_About_Love_Positive,miatuibags,1.9683391180959167e-05
Tweets_About_Love_Positive,tigermiyaw,1.1409865367147373e-05
Tweets_About_Love_Positive,InteriorsNH,2.0446757414243128e-05
Tweets_About_Love_Positive,aliffismyname_,2.2184664925072487e-05
Tweets_About_Love_Positive,luxuryladies2,2.051243778011714e-05
Tweets_About_Love_Positive,fajargibran,2.3279798764426277e-05
Tweets_About_Love_Positive,hanieiris,1.6495995829672318e-05
Tweets_About_Love_Positive,henmond,1.6611633661161513e-05
Tweets_About_Love_Positive,hermosareva,1.4288833422049577e-05
Tweets_About_Love_Positive,ivire1,1.4315773035978745e-05
Tweets_About_Love_Positive,janicccccccccce,2.329211118573176e-05
Tweets_About_Love_Positive,lolololHol,1.5462066914680447e-05
Tweets_About_Love_Positive,AimanHalifi,1.7835193168864328e-05
Tweets_About_Love_Positive,michelotv,1.0459134726467444e-05
Tweets_About_Love_Positive,danialShafeeq,1.623705881900242e-05
Tweets_About_Love_Positive,natycracker,1.783960848338042e-05
Tweets_About_Love_Positive,nwanyu,1.0419153184933906e-05
Tweets_About_Love_Positive,rousinnnn,1.3197263771212865e-05
Tweets_About_Love_Positive,sgvipescorts,2.265721773749148e-05
Tweets_About_Love_Positive,shaunling,1.4104257580914276e-05
Tweets_About_Love_Positive,skinnybonny,1.5960037402241155e-05
Tweets_About_Love_Positive,ting_janet,1.2465357588190516e-05
Tweets_About_Life_Events_Positive,naufalsallehin,2.504210917785217e-06
Tweets_About_Life_Events_Positive,miatuibags,3.0364193826393795e-06
Tweets_About_Life_Events_Positive,InteriorsNH,4.315248503740788e-06
